Date Shared,Platform,Creator / Channel,URL / Media,Title / Headline,Description / Summary,Category,Tags,AI Tools Mentioned,Followers / Subscribers,Language,Notes
2025-10-12,Instagram,,https://www.instagram.com/reel/DPf0brbDF9f/?igsh=MXJjd3JsOG1heWN1YQ==,Dpf0brbdf9f,,Other,"instagram, www.instagram.com",,Unknown,EN,
2025-10-12,Instagram,,https://www.instagram.com/reel/DPdn0N3DFbj/?igsh=dXA0b3NoOG1tdzFs,Dpdn0n3dfbj,,Other,"instagram, www.instagram.com",,Unknown,EN,
2025-10-12,Website,,https://joshstorylook.gumroad.com/?fbclid=PAZXh0bgNhZW0CMTEAAafaDiRmnt2ikqGssN2rgzcFP-dVLlqaP9l6Fau_-sh5xQWJgQv_OLlmgaRwbQ_aem_xTnYy1JpYBZ2qF6X3wCDVw,joshstorylook.gumroad.com,,AI Creative / How-To,"joshstorylook.gumroad.com, website",,Unknown,EN,
2025-10-12,Instagram,,https://www.instagram.com/reel/DOFpKuUDMzx/?igsh=MTFtOThzc3JuOTYxZQ==,Dofpkuudmzx,,Other,"instagram, www.instagram.com",,Unknown,EN,
2025-10-12,Instagram,,https://www.instagram.com/reel/DOsUY-rjLTM/?igsh=MXEybHdkempmaW5naw==,Dosuy Rjltm,,Other,"instagram, www.instagram.com",,Unknown,EN,
2025-10-12,Instagram,,https://www.instagram.com/reel/DOvtZUVjKc4/?igsh=MTd3cWo1bm90Mmh0cg==,Dovtzuvjkc4,,Other,"instagram, www.instagram.com",,Unknown,EN,
2025-10-12,Instagram,,https://www.instagram.com/reel/DPUO5bnDFwG/?igsh=MWt6emVpa3k1YWY4dg==,Dpuo5bndfwg,,Other,"instagram, www.instagram.com",,Unknown,EN,
2025-10-12,Instagram,,https://www.instagram.com/reel/DKuPKJssccD/?igsh=MXJjOHIyenZmajlsOQ==,Dkupkjssccd,,Other,"instagram, www.instagram.com",,Unknown,EN,
2025-10-12,Instagram,,https://www.instagram.com/reel/DOJNMjqDvnN/?igsh=ZTR1OGpiMmJwN2h4,Dojnmjqdvnn,,Other,"instagram, www.instagram.com",,Unknown,EN,
2025-10-11,YouTube,,https://youtu.be/Uls_jXy9RuU?si=4F2mC4EQYr3tR0EX,Uls Jxy9ruu,,Other,"youtu.be, youtube, yt:Uls_jXy9RuU",,Unknown,EN,
2025-10-11,YouTube,,https://youtube.com/playlist?list=PL-pohOSaL8P9kLZP8tQ1K1QWdZEgwiBM0&si=fWWhQQODFJ6bHCJ0,Playlist,,Other,"youtube, youtube.com",,Unknown,EN,
2025-10-11,Instagram,,https://www.instagram.com/reel/DPn0DPBDCiB/?igsh=NDExdWJ2NHE3ZXp4,Dpn0dpbdcib,,Other,"instagram, www.instagram.com",,Unknown,EN,
2025-10-11,YouTube,,https://youtube.com/shorts/jKiFOFFBkCU?si=SXqLKfzQtYeaiH0i,Jkifoffbkcu,,Other,"youtube, youtube.com, yt:jKiFOFFBkCU",,Unknown,EN,
2025-10-11,YouTube,,https://youtube.com/shorts/NL6HpEobrDs?si=qdL2awQc7pDjr6LQ,Nl6hpeobrds,,Other,"youtube, youtube.com, yt:NL6HpEobrDs",,Unknown,EN,
2025-10-11,YouTube,,https://youtube.com/shorts/oR4gh5_NhOc?si=CfO98PqZUBQmzSLe,Or4gh5 Nhoc,,Other,"youtube, youtube.com, yt:oR4gh5_NhOc",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/-NY2YCtH5VY?si=tt9wey3W3xykQNzA,Ny2ycth5vy,,Other,"youtube, youtube.com, yt:-NY2YCtH5VY",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/OjITi3IiH50?si=AXmpPbIIZKaYVFIs,Ojiti3iih50,,Other,"youtube, youtube.com, yt:OjITi3IiH50",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/WiVbxN6wjHc?si=_z2W0Xy6cWccy1Td,Wivbxn6wjhc,,Other,"youtube, youtube.com, yt:WiVbxN6wjHc",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/upmIhniX0mA?si=modSmZy3zHW409Yj,Upmihnix0ma,,Other,"youtube, youtube.com, yt:upmIhniX0mA",,Unknown,EN,
2025-10-10,TikTok,,https://www.tiktok.com/t/ZP8AU9hRA/,Zp8au9hra,,Other,"tiktok, www.tiktok.com",,Unknown,EN,
2025-10-10,TikTok,,https://www.tiktok.com/t/ZP8AU9Xao/,Zp8au9xao,,Other,"tiktok, www.tiktok.com",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/llQI0gJpm20?si=sZlpcU6mnma94rar,Llqi0gjpm20,,Other,"youtube, youtube.com, yt:llQI0gJpm20",,Unknown,EN,
2025-10-10,TikTok,,https://www.tiktok.com/t/ZP8Ay1bGD/,Zp8ay1bgd,,Other,"tiktok, www.tiktok.com",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/z_qzVRoFKVk?si=0qu7SNeDo0AoQPAo,Z Qzvrofkvk,,Other,"youtube, youtube.com, yt:z_qzVRoFKVk",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/qLhpUQ3T7P8?si=xHy4mLq_Z69-j6vm,Qlhpuq3t7p8,,Other,"youtube, youtube.com, yt:qLhpUQ3T7P8",,Unknown,EN,
2025-10-10,Website,,https://theaisurfer.com/resources,Resources,,Other,"theaisurfer.com, website",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/Boyf5Yo03U0?si=bkL1z5YDg0CYgQAO,Boyf5yo03u0,,Other,"youtube, youtube.com, yt:Boyf5Yo03U0",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/XnT4BXjN35I?si=lq2E_jVmxWx9qiyH,Xnt4bxjn35i,,Other,"youtube, youtube.com, yt:XnT4BXjN35I",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/CCL9Kct3v1I?si=3A3xjdi81Iqmkamm,Ccl9kct3v1i,,Other,"youtube, youtube.com, yt:CCL9Kct3v1I",,Unknown,EN,
2025-10-10,YouTube,,https://youtube.com/shorts/6u-snbY_CXs?si=CC0zcox_2r0JUUXS,6u Snby Cxs,,Other,"youtube, youtube.com, yt:6u-snbY_CXs",,Unknown,EN,
2025-10-10,TikTok,,https://www.tiktok.com/t/ZP8AUs6a1/,Zp8aus6a1,,Other,"tiktok, www.tiktok.com",,Unknown,EN,
